ID;Title;Image URL;Image Filename;Permalink;Slug;razze allevamenti
398;Bassett fauve de bretagne;https://www.caniincasa.it/wp-content/uploads/2023/10/Bassett-fauve-de-bretagne.jpg;Bassett-fauve-de-bretagne.jpg;https://www.caniincasa.it/razze_di_cani/bassett-fauve-de-bretagne/;bassett-fauve-de-bretagne;Bassett fauve de bretagne
399;Bassotti tedeschi;https://www.caniincasa.it/wp-content/uploads/2023/10/Bassotti-tedeschi-3.jpg;Bassotti-tedeschi-3.jpg;https://www.caniincasa.it/razze_di_cani/bassotti-tedeschi/;bassotti-tedeschi;Bassotti tedeschi
400;Bayerischer gebirgsschweisshund;https://www.caniincasa.it/wp-content/uploads/2023/10/bayerischer-gebirgsschweisshund-draussen.jpg;bayerischer-gebirgsschweisshund-draussen.jpg;https://www.caniincasa.it/razze_di_cani/bayerischer-gebirgsschweisshund/;bayerischer-gebirgsschweisshund;Bayerischer gebirgsschweisshund
401;Beagle;https://www.caniincasa.it/wp-content/uploads/2023/10/Beagle.jpg;Beagle.jpg;https://www.caniincasa.it/razze_di_cani/beagle/;beagle;Beagle
402;Beagle harrier;https://www.caniincasa.it/wp-content/uploads/2023/10/Beagle-harrier.jpg;Beagle-harrier.jpg;https://www.caniincasa.it/razze_di_cani/beagle-harrier/;beagle-harrier;Beagle harrier
403;Bearded collie;https://www.caniincasa.it/wp-content/uploads/2023/10/Bearded-collie.jpg;Bearded-collie.jpg;https://www.caniincasa.it/razze_di_cani/bearded-collie/;bearded-collie;Bearded collie
404;Bedlington terrier;https://www.caniincasa.it/wp-content/uploads/2023/10/Bedlington-terrier.jpg;Bedlington-terrier.jpg;https://www.caniincasa.it/razze_di_cani/bedlington-terrier/;bedlington-terrier;Bedlington terrier
405;Bichon a poil frise;https://www.caniincasa.it/wp-content/uploads/2023/10/Bichon-a-poil-frise.jpg;Bichon-a-poil-frise.jpg;https://www.caniincasa.it/razze_di_cani/bichon-a-poil-frise/;bichon-a-poil-frise;Bichon a poil frise
406;Bichon havanais;https://www.caniincasa.it/wp-content/uploads/2023/10/Bichon-havanais.jpg;Bichon-havanais.jpg;https://www.caniincasa.it/razze_di_cani/bichon-havanais/;bichon-havanais;Bichon havanais
407;Billy;https://www.caniincasa.it/wp-content/uploads/2023/10/Billy.jpg;Billy.jpg;https://www.caniincasa.it/razze_di_cani/billy/;billy;Billy
408;Black and tan coonhound;https://www.caniincasa.it/wp-content/uploads/2023/10/Black-and-tan-coonhound.jpg;Black-and-tan-coonhound.jpg;https://www.caniincasa.it/razze_di_cani/black-and-tan-coonhound/;black-and-tan-coonhound;Black and tan coonhound
409;Bloodhound chien de saint-ubert;https://www.caniincasa.it/wp-content/uploads/2023/10/Bloodhound-chien-de-saint-ubert.jpg;Bloodhound-chien-de-saint-ubert.jpg;https://www.caniincasa.it/razze_di_cani/bloodhound-chien-de-saint-ubert/;bloodhound-chien-de-saint-ubert;Bloodhound chien de saint-ubert
410;Bobtail;https://www.caniincasa.it/wp-content/uploads/2023/10/Bobtail.jpg;Bobtail.jpg;https://www.caniincasa.it/razze_di_cani/bobtail/;bobtail;Bobtail
411;Bolognese;https://www.caniincasa.it/wp-content/uploads/2023/10/Bolognese.jpg;Bolognese.jpg;https://www.caniincasa.it/razze_di_cani/bolognese/;bolognese;Bolognese
412;Border collie;https://www.caniincasa.it/wp-content/uploads/2023/10/Border-collie.jpg;Border-collie.jpg;https://www.caniincasa.it/razze_di_cani/border-collie/;border-collie;Border collie
413;Border terrier;https://www.caniincasa.it/wp-content/uploads/2023/10/Border-terrier.jpg;Border-terrier.jpg;https://www.caniincasa.it/razze_di_cani/border-terrier/;border-terrier;Border terrier
414;Boston terrier;https://www.caniincasa.it/wp-content/uploads/2023/10/Boston-terrier.jpg;Boston-terrier.jpg;https://www.caniincasa.it/razze_di_cani/boston-terrier/;boston-terrier;Boston terrier
415;Bouledogue francese;https://www.caniincasa.it/wp-content/uploads/2023/10/Bouledogue-francese.jpg;Bouledogue-francese.jpg;https://www.caniincasa.it/razze_di_cani/bouledogue-francese/;bouledogue-francese;Bouledogue francese
416;Bovaro del bernese;https://www.caniincasa.it/wp-content/uploads/2023/10/Bovaro-del-bernese.jpg;Bovaro-del-bernese.jpg;https://www.caniincasa.it/razze_di_cani/bovaro-del-bernese/;bovaro-del-bernese;Bovaro del bernese
417;Bovaro dell’appenzell;https://www.caniincasa.it/wp-content/uploads/2023/10/Bovaro-dellappenzell.jpg;Bovaro-dellappenzell.jpg;https://www.caniincasa.it/razze_di_cani/bovaro-dellappenzell/;bovaro-dellappenzell;Bovaro dell’appenzell
418;Bovaro dell’entlebuch;https://www.caniincasa.it/wp-content/uploads/2023/10/Bovaro-dellentlebuch.jpg;Bovaro-dellentlebuch.jpg;https://www.caniincasa.it/razze_di_cani/bovaro-dellentlebuch/;bovaro-dellentlebuch;Bovaro dell’entlebuch
419;Bovaro delle ardenne;https://www.caniincasa.it/wp-content/uploads/2023/10/Bovaro-delle-ardenne.jpg;Bovaro-delle-ardenne.jpg;https://www.caniincasa.it/razze_di_cani/bovaro-delle-ardenne/;bovaro-delle-ardenne;Bovaro delle ardenne
420;Bovaro delle fiandre;https://www.caniincasa.it/wp-content/uploads/2023/10/Bovaro-delle-fiandre.jpg;Bovaro-delle-fiandre.jpg;https://www.caniincasa.it/razze_di_cani/bovaro-delle-fiandre/;bovaro-delle-fiandre;Bovaro delle fiandre
421;Boxer;https://www.caniincasa.it/wp-content/uploads/2023/10/Boxer.jpg;Boxer.jpg;https://www.caniincasa.it/razze_di_cani/boxer/;boxer;Boxer
422;Bracco d’ariege;https://www.caniincasa.it/wp-content/uploads/2023/10/Bracco-dariege.jpg;Bracco-dariege.jpg;https://www.caniincasa.it/razze_di_cani/bracco-dariege/;bracco-dariege;Bracco d’ariege
423;Bracco d’auvergne;https://www.caniincasa.it/wp-content/uploads/2023/10/Bracco-dauvergne.jpg;Bracco-dauvergne.jpg;https://www.caniincasa.it/razze_di_cani/bracco-dauvergne/;bracco-dauvergne;Bracco d’auvergne
424;Bracco del bourbonnais;https://www.caniincasa.it/wp-content/uploads/2023/10/schede_razze_bracco_bourbonnais-768x465-1.jpg;schede_razze_bracco_bourbonnais-768x465-1.jpg;https://www.caniincasa.it/razze_di_cani/bracco-del-bourbonnais/;bracco-del-bourbonnais;Bracco del bourbonnais
425;Bracco di burgos;https://www.caniincasa.it/wp-content/uploads/2023/10/Bracco-di-burgos.jpg;Bracco-di-burgos.jpg;https://www.caniincasa.it/razze_di_cani/bracco-di-burgos/;bracco-di-burgos;Bracco di burgos
426;Bracco francese;https://www.caniincasa.it/wp-content/uploads/2023/10/bracco-francese4-1280x720-1.jpg;bracco-francese4-1280x720-1.jpg;https://www.caniincasa.it/razze_di_cani/bracco-francese/;bracco-francese;Bracco francese
427;Bracco italiano;https://www.caniincasa.it/wp-content/uploads/2023/10/Bracco-italiano.jpg;Bracco-italiano.jpg;https://www.caniincasa.it/razze_di_cani/bracco-italiano/;bracco-italiano;Bracco italiano
428;Bracco portoghese;https://www.caniincasa.it/wp-content/uploads/2023/10/Bracco-portoghese.jpg;Bracco-portoghese.jpg;https://www.caniincasa.it/razze_di_cani/bracco-portoghese/;bracco-portoghese;Bracco portoghese
429;Bracco saint germain;https://www.caniincasa.it/wp-content/uploads/2023/10/Bracco-saint-germain.jpg;Bracco-saint-germain.jpg;https://www.caniincasa.it/razze_di_cani/bracco-saint-germain/;bracco-saint-germain;Bracco saint germain
430;Bracco slovacco;https://www.caniincasa.it/wp-content/uploads/2023/10/Bracco-Slovacco-A-Pelo-Duro.jpg;Bracco-Slovacco-A-Pelo-Duro.jpg;https://www.caniincasa.it/razze_di_cani/bracco-slovacco/;bracco-slovacco;Bracco slovacco
431;Bracco ungherese;https://www.caniincasa.it/wp-content/uploads/2023/10/Bracco-ungherese.jpg;Bracco-ungherese.jpg;https://www.caniincasa.it/razze_di_cani/bracco-ungherese/;bracco-ungherese;Bracco ungherese
432;Briquet griffon vendeen;https://www.caniincasa.it/wp-content/uploads/2023/10/Briquet-griffon-vendeen.jpg;Briquet-griffon-vendeen.jpg;https://www.caniincasa.it/razze_di_cani/briquet-griffon-vendeen/;briquet-griffon-vendeen;Briquet griffon vendeen
433;Broholmer;https://www.caniincasa.it/wp-content/uploads/2023/10/Broholmer.jpg;Broholmer.jpg;https://www.caniincasa.it/razze_di_cani/broholmer/;broholmer;Broholmer
434;Bull terrier inglese;https://www.caniincasa.it/wp-content/uploads/2023/10/Bull-terrier-inglese.jpg;Bull-terrier-inglese.jpg;https://www.caniincasa.it/razze_di_cani/bull-terrier-inglese/;bull-terrier-inglese;Bull terrier inglese
435;Bulldog;https://www.caniincasa.it/wp-content/uploads/2023/10/Bulldog.jpg;Bulldog.jpg;https://www.caniincasa.it/razze_di_cani/bulldog/;bulldog;Bulldog
436;Bullmastiff;https://www.caniincasa.it/wp-content/uploads/2023/10/Bullmastiff.jpg;Bullmastiff.jpg;https://www.caniincasa.it/razze_di_cani/bullmastiff/;bullmastiff;Bullmastiff
437;Cairn terrier;https://www.caniincasa.it/wp-content/uploads/2023/10/Cairn-terrier.jpg;Cairn-terrier.jpg;https://www.caniincasa.it/razze_di_cani/cairn-terrier/;cairn-terrier;Cairn terrier
438;Canaan dog;https://www.caniincasa.it/wp-content/uploads/2023/10/Canaan-dog.jpg;Canaan-dog.jpg;https://www.caniincasa.it/razze_di_cani/canaan-dog/;canaan-dog;Canaan dog
439;Cane corso;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-corso.jpg;Cane-corso.jpg;https://www.caniincasa.it/razze_di_cani/cane-corso/;cane-corso;Cane corso
440;Cane da ferma boemo;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-ferma-boemo.jpg;Cane-da-ferma-boemo.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-ferma-boemo/;cane-da-ferma-boemo;Cane da ferma boemo
441;Cane da ferma tedesco;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-ferma-tedesco.jpg;Cane-da-ferma-tedesco.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-ferma-tedesco/;cane-da-ferma-tedesco;Cane da ferma tedesco
442;Cane da lupo cecoslovacco;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-lupo-cecoslovacco.jpg;Cane-da-lupo-cecoslovacco.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-lupo-cecoslovacco/;cane-da-lupo-cecoslovacco;Cane da lupo cecoslovacco
443;Cane da lupo saarloos;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-lupo-saarloos.jpg;Cane-da-lupo-saarloos.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-lupo-saarloos/;cane-da-lupo-saarloos;Cane da lupo saarloos
444;Cane da montagna dei pirenei;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-montagna-dei-pirenei.jpg;Cane-da-montagna-dei-pirenei.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-montagna-dei-pirenei/;cane-da-montagna-dei-pirenei;Cane da montagna dei pirenei
445;Cane da orso della carelia;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-orso-della-carelia.jpg;Cane-da-orso-della-carelia.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-orso-della-carelia/;cane-da-orso-della-carelia;Cane da orso della carelia
446;Cane da pastore australiano kelpie;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-australiano-kelpie.jpg;Cane-da-pastore-australiano-kelpie.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-australiano-kelpie/;cane-da-pastore-australiano-kelpie;Cane da pastore australiano kelpie
447;Cane da pastore belga;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-belga.jpg;Cane-da-pastore-belga.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-belga/;cane-da-pastore-belga;Cane da pastore belga
448;Cane da pastore bergamasco;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-bergamasco.jpg;Cane-da-pastore-bergamasco.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-bergamasco/;cane-da-pastore-bergamasco;Cane da pastore bergamasco
449;Cane da pastore catalano;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-catalano.jpg;Cane-da-pastore-catalano.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-catalano/;cane-da-pastore-catalano;Cane da pastore catalano
450;Cane da pastore croato;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-croato.jpg;Cane-da-pastore-croato.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-croato/;cane-da-pastore-croato;Cane da pastore croato
451;Cane da pastore dei pirenei;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-dei-pirenei.jpg;Cane-da-pastore-dei-pirenei.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-dei-pirenei/;cane-da-pastore-dei-pirenei;Cane da pastore dei pirenei
452;Cane da pastore dei tatra;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-dei-tatra.jpg;Cane-da-pastore-dei-tatra.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-dei-tatra/;cane-da-pastore-dei-tatra;Cane da pastore dei tatra
453;Cane da pastore del caucaso;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-del-caucaso.jpg;Cane-da-pastore-del-caucaso.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-del-caucaso/;cane-da-pastore-del-caucaso;Cane da pastore del caucaso
454;Cane da pastore dell’anatolia;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-dellanatolia.jpg;Cane-da-pastore-dellanatolia.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-dellanatolia/;cane-da-pastore-dellanatolia;Cane da pastore dell’anatolia
455;Cane da pastore dell’asia centrale;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-dellasia-centrale.jpg;Cane-da-pastore-dellasia-centrale.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-dellasia-centrale/;cane-da-pastore-dellasia-centrale;Cane da pastore dell’asia centrale
456;Cane da pastore della russia meridionale;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-della-russia-meridionale.jpg;Cane-da-pastore-della-russia-meridionale.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-della-russia-meridionale/;cane-da-pastore-della-russia-meridionale;Cane da pastore della russia meridionale
457;Cane da pastore di beauce;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-di-beauce.jpg;Cane-da-pastore-di-beauce.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-di-beauce/;cane-da-pastore-di-beauce;Cane da pastore di beauce
458;Cane da pastore di brie;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-di-brie.jpg;Cane-da-pastore-di-brie.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-di-brie/;cane-da-pastore-di-brie;Cane da pastore di brie
459;Cane da pastore di ciarplanina;https://www.caniincasa.it/wp-content/uploads/2023/10/cane-da-pastore-ciarplanina.webp|https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-di-ciarplanina.jpeg|https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-di-ciarplanina.jpg;cane-da-pastore-ciarplanina.webp|Cane-da-pastore-di-ciarplanina.jpeg|Cane-da-pastore-di-ciarplanina.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-di-ciarplanina/;cane-da-pastore-di-ciarplanina;Cane da pastore di ciarplanina
460;Cane da pastore di karst;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-di-karst.jpg;Cane-da-pastore-di-karst.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-di-karst/;cane-da-pastore-di-karst;Cane da pastore di karst
461;Cane da pastore di picardia;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-di-picardia.jpg;Cane-da-pastore-di-picardia.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-di-picardia/;cane-da-pastore-di-picardia;Cane da pastore di picardia
462;Cane da pastore mallorquin;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-mallorquin-.jpg|https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-mallorquin.jpeg;Cane-da-pastore-mallorquin-.jpg|Cane-da-pastore-mallorquin.jpeg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-mallorquin/;cane-da-pastore-mallorquin;Cane da pastore mallorquin
463;Cane da pastore maremmano abruzzese;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-maremmano-abruzzese.jpg;Cane-da-pastore-maremmano-abruzzese.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-maremmano-abruzzese/;cane-da-pastore-maremmano-abruzzese;Cane da pastore maremmano abruzzese
464;Cane da pastore olandese;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-olandese.jpg;Cane-da-pastore-olandese.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-olandese/;cane-da-pastore-olandese;Cane da pastore olandese
465;Cane da pastore polacco di vallee;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-polacco-di-vallee.jpg;Cane-da-pastore-polacco-di-vallee.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-polacco-di-vallee/;cane-da-pastore-polacco-di-vallee;Cane da pastore polacco di vallee
466;Cane da pastore scozzese;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-pastore-scozzese.jpg;Cane-da-pastore-scozzese.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-pastore-scozzese/;cane-da-pastore-scozzese;Cane da pastore scozzese
467;Cane da sierra di estrela;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-da-sierra-di-estrela.jpg;Cane-da-sierra-di-estrela.jpg;https://www.caniincasa.it/razze_di_cani/cane-da-sierra-di-estrela/;cane-da-sierra-di-estrela;Cane da sierra di estrela
468;Cane de castro laboreiro;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-de-castro-laboreiro.jpg;Cane-de-castro-laboreiro.jpg;https://www.caniincasa.it/razze_di_cani/cane-de-castro-laboreiro/;cane-de-castro-laboreiro;Cane de castro laboreiro
469;Cane dell’atlas;https://www.caniincasa.it/wp-content/uploads/2023/10/cane-dell-atlas.jpg;cane-dell-atlas.jpg;https://www.caniincasa.it/razze_di_cani/cane-dellatlas/;cane-dellatlas;Cane dell’atlas
470;Cane di san bernardo;https://www.caniincasa.it/wp-content/uploads/2023/10/Cane-di-san-bernardo.jpg;Cane-di-san-bernardo.jpg;https://www.caniincasa.it/razze_di_cani/cane-di-san-bernardo/;cane-di-san-bernardo;Cane di san bernardo
471;Cane fonnese;https://www.caniincasa.it/wp-content/uploads/2023/10/cane-fonnese-1280x720-1.jpg;cane-fonnese-1280x720-1.jpg;https://www.caniincasa.it/razze_di_cani/cane-fonnese/;cane-fonnese;Cane fonnese
472;Cao da sierra de aires;https://www.caniincasa.it/wp-content/uploads/2023/10/cao-da-serra-Aires.jpg;cao-da-serra-Aires.jpg;https://www.caniincasa.it/razze_di_cani/cao-da-sierra-de-aires/;cao-da-sierra-de-aires;Cao da sierra de aires
473;Cao de agua;https://www.caniincasa.it/wp-content/uploads/2023/10/Cao-de-agua.jpg;Cao-de-agua.jpg;https://www.caniincasa.it/razze_di_cani/cao-de-agua/;cao-de-agua;Cao de agua
474;Cao fila de sao miguel;https://www.caniincasa.it/wp-content/uploads/2023/10/Cao-fila-de-Sao-Miguel.jpg;Cao-fila-de-Sao-Miguel.jpg;https://www.caniincasa.it/razze_di_cani/cao-fila-de-sao-miguel/;cao-fila-de-sao-miguel;Cao fila de sao miguel
475;Carlino;https://www.caniincasa.it/wp-content/uploads/2023/10/Carlino.jpg;Carlino.jpg;https://www.caniincasa.it/razze_di_cani/carlino/;carlino;Carlino
476;Cavalier king charles spaniel;https://www.caniincasa.it/wp-content/uploads/2023/10/Cavalier-king-charles-spaniel.jpg;Cavalier-king-charles-spaniel.jpg;https://www.caniincasa.it/razze_di_cani/cavalier-king-charles-spaniel/;cavalier-king-charles-spaniel;Cavalier king charles spaniel
477;Chesapeake bay retriever;https://www.caniincasa.it/wp-content/uploads/2023/10/Chesapeake-bay-retriever.jpg;Chesapeake-bay-retriever.jpg;https://www.caniincasa.it/razze_di_cani/chesapeake-bay-retriever/;chesapeake-bay-retriever;Chesapeake bay retriever
478;Chien d’artois;https://www.caniincasa.it/wp-content/uploads/2023/10/Chien-dartois.jpg;Chien-dartois.jpg;https://www.caniincasa.it/razze_di_cani/chien-dartois/;chien-dartois;Chien d’artois
479;Chihuahua;https://www.caniincasa.it/wp-content/uploads/2023/10/Chihuahua.jpg;Chihuahua.jpg;https://www.caniincasa.it/razze_di_cani/chihuahua/;chihuahua;Chihuahua
480;Chin;https://www.caniincasa.it/wp-content/uploads/2023/10/Chin.jpg;Chin.jpg;https://www.caniincasa.it/razze_di_cani/chin/;chin;Chin
481;Chinese crested dog;https://www.caniincasa.it/wp-content/uploads/2023/10/Chinese-crested-dog.jpg;Chinese-crested-dog.jpg;https://www.caniincasa.it/razze_di_cani/chinese-crested-dog/;chinese-crested-dog;Chinese crested dog
482;Chow-chow;https://www.caniincasa.it/wp-content/uploads/2023/10/Chow-chow.jpg;Chow-chow.jpg;https://www.caniincasa.it/razze_di_cani/chow-chow/;chow-chow;Chow-chow
483;Cimarron uruguayo;https://www.caniincasa.it/wp-content/uploads/2023/10/Cimarron-uruguayo.jpg;Cimarron-uruguayo.jpg;https://www.caniincasa.it/razze_di_cani/cimarron-uruguayo/;cimarron-uruguayo;Cimarron uruguayo
484;Ciobanesc romanesc de bucovina;https://www.caniincasa.it/wp-content/uploads/2023/10/Ciobanesc-romanesc-de-bucovina.jpg;Ciobanesc-romanesc-de-bucovina.jpg;https://www.caniincasa.it/razze_di_cani/ciobanesc-romanesc-de-bucovina/;ciobanesc-romanesc-de-bucovina;Ciobanesc romanesc de bucovina
485;Cirneco dell’etna;https://www.caniincasa.it/wp-content/uploads/2023/10/Cirneco-delletna.jpg;Cirneco-delletna.jpg;https://www.caniincasa.it/razze_di_cani/cirneco-delletna/;cirneco-delletna;Cirneco dell’etna
